###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57613.240718  18.544  0.452   139   63 o  0   1.06 236.97569  44.65204  1714.86  9509.66 3.61 3.49  46.4 -0.488 18.23 19.34 02a57613o0025o
57613.260120 -20.805  1.650   -17   29 o  0   1.02 236.97569  44.65204   583.57  9514.18 3.74 3.70  30.4 -0.462 18.87 20.60 02a57613o0062o
57613.271154  20.100  0.859    33   28 o  0   1.10 236.97569  44.65204   650.36  9587.09 3.61 3.56  49.1 -0.479 18.88 20.56 02a57613o0083o
57613.273777 -21.679  3.500    -8   27 o  0   1.36 236.97569  44.65204   665.90  9467.42 3.60 3.57  46.2 -0.477 18.87 20.54 02a57613o0087o
57613.289623  20.383  1.208    26   31 o  0   1.01 236.97569  44.65204 10079.36  9546.08 4.18 3.34  81.7 -0.511 18.86 20.56 02a57613o0117o
57613.292736  20.953  2.086    15   32 o  0   0.89 236.97569  44.65204   621.80  9525.54 3.69 3.62 -28.4 -0.467 18.82 20.46 02a57613o0123o
57613.298511  20.496  1.200    23   28 o  0   1.45 236.97569  44.65204 10105.02  9428.54 4.17 3.21  85.3 -0.512 18.84 20.50 02a57613o0134o
57613.314701 -22.693 10.667    -3   32 o  0   1.04 236.97569  44.65204 10063.74  9482.36 4.42 3.48  83.1 -0.492 18.78 20.46 02a57613o0165o
57617.253953  19.021  0.687    90   62 o  0   0.94 236.97569  44.65204  9432.77  9175.99 4.46 3.28  89.0 -0.508 18.50 19.97 02a57617o0061o
57617.261763  19.432  0.869    61   53 o  0   1.21 236.97569  44.65204  9416.26  9134.95 4.61 3.24 -89.2 -0.479 18.50 19.97 02a57617o0076o
57617.270686 -17.045  0.201  -552  111 o  0   0.47 236.97569  44.65204    30.68  9293.83 4.37 3.59 -50.9 -0.477 18.46 19.90 02a57617o0093o
57617.272770  20.028  1.631    35   58 o  0   1.05 236.97569  44.65204  9471.03  9214.13 4.73 3.38 -89.4 -0.499 18.48 19.95 02a57617o0097o
57617.275368  22.531 54.571     4  193 o  0   0.13 236.97569  44.65204    45.18  9173.42 4.42 3.55 -52.2 -0.452 18.45 19.89 02a57617o0102o
57617.288495 -21.632  8.400    -8   68 o  0   0.76 236.97569  44.65204  9483.80  9095.66 4.77 3.37  89.2 -0.481 18.48 19.94 02a57617o0127o
57617.295235 -20.359  2.426   -26   63 o  0   1.04 236.97569  44.65204  9443.14  9151.47 4.81 3.41 -90.0 -0.510 18.47 19.92 02a57617o0140o
57620.250791  20.058  0.811    34   28 o  0   0.94 236.97569  44.65204   182.14  9721.69 4.05 3.71 -43.0 -0.457 19.08 20.97 02a57620o0035o
57620.260325  20.134  0.952    32   30 o  0   0.92 236.97569  44.65204  9633.42  9654.13 4.49 3.50  86.8 -0.487 18.93 20.69 02a57620o0053o
57620.268778 -21.374  3.045   -10   31 o  0   1.13 236.97569  44.65204   164.95  9678.45 4.08 3.67 -43.0 -0.456 18.76 20.39 02a57620o0069o
57620.270328 -21.052  2.760   -14   38 o  0   0.93 236.97569  44.65204  9614.41  9612.31 4.60 3.60  87.8 -0.497 18.78 20.49 02a57620o0072o
57620.274462  20.135  1.175    32   38 o  0   0.90 236.97569  44.65204  9670.95  9692.44 4.44 3.40  88.2 -0.506 18.78 20.41 02a57620o0080o
57620.276018 -20.353  1.345   -26   35 o  0   1.26 236.97569  44.65204   219.99  9751.03 4.06 3.68 -35.1 -0.472 18.70 20.30 02a57620o0083o
57620.286356 -20.747  1.816   -18   33 o  0   1.10 236.97569  44.65204   232.26  9634.16 4.10 3.77 -43.3 -0.455 18.61 20.19 02a57620o0102o
57620.288442  19.830  0.827    42   35 o  0   1.16 236.97569  44.65204  9678.76  9574.77 4.49 3.37  86.8 -0.494 18.69 20.26 02a57620o0106o
57620.296225  19.691  0.816    48   39 o  0   0.98 236.97569  44.65204   190.46  9690.28 4.18 3.73 -41.3 -0.454 18.56 20.09 02a57620o0121o
57620.298367 -20.418  1.841   -25   46 o  0   0.77 236.97569  44.65204  9636.01  9629.28 4.70 3.51  88.3 -0.497 18.62 20.19 02a57620o0125o
57621.241232  21.396  6.875    10   69 o  0   0.85 236.97569  44.65204 10263.51  8802.49 5.75 3.44 -87.7 -0.438 18.19 19.97 02a57621o0032o
57621.250802  18.534  0.307   140   43 o  0   0.98 236.97569  44.65204   829.28  8824.90 4.19 3.27 -18.9 -0.443 18.67 20.74 02a57621o0049o
